i, j, dp.i.j: 1, 0, 0
i, j, dp.i.j: 1, 1, 0
i, j, dp.i.j: 1, 2, 0
i, j, dp.i.j: 1, 3, 0
i, j, dp.i.j: 1, 4, 0
i, j, dp.i.j: 1, 5, 6
i, j, dp.i.j: 1, 6, 6
i, j, dp.i.j: 1, 7, 6
i, j, dp.i.j: 1, 8, 6
i, j, dp.i.j: 1, 9, 6
i, j, dp.i.j: 1, 10, 6
i, j, dp.i.j: 1, 11, 11
i, j, dp.i.j: 1, 12, 11
i, j, dp.i.j: 1, 13, 11
i, j, dp.i.j: 1, 14, 11
i, j, dp.i.j: 1, 15, 11
i, j, dp.i.j: 2, 0, 0
i, j, dp.i.j: 2, 1, 0
i, j, dp.i.j: 2, 2, 0
i, j, dp.i.j: 2, 3, 0
i, j, dp.i.j: 2, 4, 0
i, j, dp.i.j: 2, 5, 6
i, j, dp.i.j: 2, 6, 6
i, j, dp.i.j: 2, 7, 6
i, j, dp.i.j: 2, 8, 6
i, j, dp.i.j: 2, 9, 6
i, j, dp.i.j: 2, 10, 6
i, j, dp.i.j: 2, 11, 11
i, j, dp.i.j: 2, 12, 11
i, j, dp.i.j: 2, 13, 11
i, j, dp.i.j: 2, 14, 11
i, j, dp.i.j: 2, 15, 11
i, j, dp.i.j: 3, 0, 0
i, j, dp.i.j: 3, 1, 0
i, j, dp.i.j: 3, 2, 0
i, j, dp.i.j: 3, 3, 0
i, j, dp.i.j: 3, 4, 0
i, j, dp.i.j: 3, 5, 6
i, j, dp.i.j: 3, 6, 6
i, j, dp.i.j: 3, 7, 6
i, j, dp.i.j: 3, 8, 6
i, j, dp.i.j: 3, 9, 6
i, j, dp.i.j: 3, 10, 6
i, j, dp.i.j: 3, 11, 12
i, j, dp.i.j: 3, 12, 12
i, j, dp.i.j: 3, 13, 12
i, j, dp.i.j: 3, 14, 12
i, j, dp.i.j: 3, 15, 12
i, j, dp.i.j: 4, 0, 0
i, j, dp.i.j: 4, 1, 0
i, j, dp.i.j: 4, 2, 0
i, j, dp.i.j: 4, 3, 5
i, j, dp.i.j: 4, 4, 5
i, j, dp.i.j: 4, 5, 6
i, j, dp.i.j: 4, 6, 6
i, j, dp.i.j: 4, 7, 6
i, j, dp.i.j: 4, 8, 11
i, j, dp.i.j: 4, 9, 11
i, j, dp.i.j: 4, 10, 11
i, j, dp.i.j: 4, 11, 12
i, j, dp.i.j: 4, 12, 12
i, j, dp.i.j: 4, 13, 12
i, j, dp.i.j: 4, 14, 17
i, j, dp.i.j: 4, 15, 17
i, j, dp.i.j: 5, 0, 0
i, j, dp.i.j: 5, 1, 0
i, j, dp.i.j: 5, 2, 0
i, j, dp.i.j: 5, 3, 5
i, j, dp.i.j: 5, 4, 5
i, j, dp.i.j: 5, 5, 6
i, j, dp.i.j: 5, 6, 6
i, j, dp.i.j: 5, 7, 6
i, j, dp.i.j: 5, 8, 11
i, j, dp.i.j: 5, 9, 11
i, j, dp.i.j: 5, 10, 11
i, j, dp.i.j: 5, 11, 12
i, j, dp.i.j: 5, 12, 12
i, j, dp.i.j: 5, 13, 12
i, j, dp.i.j: 5, 14, 17
i, j, dp.i.j: 5, 15, 17
